ox_code	population
AB0085-C	BFS
AB0087-C	BFM
AB0088-C	BFM
AB0089-C	BFM
AB0090-C	BFM
AB0091-C	BFM
AB0092-C	BFM
AB0094-C	BFM
AB0095-C	BFM
AB0097-C	BFM
AB0098-C	BFM
AB0099-C	BFM
AB0100-C	BFM
AB0101-C	BFM
AB0103-C	BFS
AB0104-C	BFS
AB0109-C	BFM
AB0110-C	BFM
AB0111-C	BFM
AB0112-C	BFM
AB0113-C	BFM
AB0114-C	BFM
AB0117-C	BFS
AB0119-C	BFS
AB0122-C	BFM
AB0123-C	BFM
AB0124-C	BFM
AB0126-C	BFS
AB0127-C	BFS
AB0128-C	BFS
AB0129-C	BFS
AB0130-C	BFS
AB0133-C	BFS
AB0134-C	BFS
AB0135-C	BFS
AB0136-C	BFS
AB0137-C	BFM
AB0138-C	BFM
AB0139-C	BFM
AB0140-C	BFM
AB0142-C	BFM
AB0143-C	BFS
AB0145-C	BFS
AB0146-C	BFS
AB0147-C	BFS
AB0148-C	BFS
AB0151-C	BFS
AB0153-C	BFS
AB0155-C	BFS
AB0157-C	BFS
AB0158-C	BFS
AB0159-C	BFS
AB0160-C	BFS
AB0161-C	BFS
AB0164-C	BFS
AB0166-C	BFS
AB0169-C	BFS
AB0170-C	BFS
AB0171-C	BFS
AB0172-C	BFS
AB0173-C	BFS
AB0174-C	BFS
AB0175-C	BFS
AB0176-C	BFS
AB0177-C	BFS
AB0178-C	BFS
AB0179-C	BFS
AB0181-C	BFM
AB0182-C	BFM
AB0183-C	BFM
AB0184-C	BFM
AB0185-C	BFM
AB0186-C	BFM
AB0187-C	BFM
AB0188-C	BFM
AB0189-C	BFM
AB0190-C	BFM
AB0191-C	BFM
AB0192-C	BFM
AB0197-C	BFS
AB0198-C	BFS
AB0199-C	BFS
AB0201-C	BFS
AB0202-C	BFS
AB0203-C	BFS
AB0204-C	BFM
AB0205-C	BFS
AB0206-C	BFS
AB0207-C	BFS
AB0208-C	BFS
AB0209-C	BFM
AB0210-C	BFM
AB0211-C	BFS
AB0212-C	BFM
AB0213-C	BFM
AB0217-C	BFS
AB0219-C	BFM
AB0221-C	BFM
AB0222-C	BFM
AB0223-C	BFM
AB0224-C	BFM
AB0226-C	BFM
AB0227-C	BFM
AB0228-C	BFS
AB0229-C	BFM
AB0231-C	BFS
AB0233-C	BFS
AB0234-C	BFM
AB0235-C	BFS
AB0236-C	BFS
AB0237-C	BFM
AB0238-C	BFS
AB0239-C	BFS
AB0240-C	BFM
AB0241-C	BFS
AB0242-C	BFM
AB0243-C	BFM
AB0244-C	BFS
AB0246-C	BFM
AB0249-C	BFM
AB0250-C	BFM
AB0251-C	BFS
AB0252-C	BFS
AB0253-C	BFS
AB0256-C	BFS
AB0257-C	BFM
AB0258-C	BFM
AB0260-C	BFS
AB0261-C	BFS
AB0262-C	BFM
AB0263-C	BFM
AB0264-C	BFS
AB0265-C	BFS
AB0266-C	BFM
AB0267-C	BFM
AB0268-C	BFS
AB0270-C	BFS
AB0271-C	BFS
AB0272-C	BFS
AB0273-C	BFS
AB0274-C	BFS
AB0276-C	BFM
AB0277-C	BFS
AB0278-C	BFS
AB0279-C	BFM
AB0280-C	BFS
AB0281-C	BFS
AB0282-C	BFM
AB0283-C	BFS
AB0284-C	BFS
AC0090-C	UGS
AC0091-C	UGS
AC0092-C	UGS
AC0093-C	UGS
AC0094-C	UGS
AC0095-C	UGS
AC0096-C	UGS
AC0097-C	UGS
AC0098-C	UGS
AC0099-C	UGS
AC0100-C	UGS
AC0101-C	UGS
AC0102-C	UGS
